,metric,method,truncation_mode,level,k,silhouette,DBscore
0,cityblock,complete,,2,6,0.2954474489331907,1.974590276425011
1,cityblock,complete,,2,7,0.3183397017566601,1.8879535975734194
2,cityblock,complete,,2,8,0.3185684313910286,1.7014615264037491
3,cityblock,complete,,2,9,0.3168761151980331,1.7649595444824686
4,cityblock,complete,,2,10,0.2979643023417871,1.6974154497986356
5,cityblock,complete,,3,6,0.2954474489331907,1.974590276425011
6,cityblock,complete,,3,7,0.3183397017566601,1.8879535975734194
7,cityblock,complete,,3,8,0.3185684313910286,1.7014615264037491
8,cityblock,complete,,3,9,0.3168761151980331,1.7649595444824686
9,cityblock,complete,,3,10,0.2979643023417871,1.6974154497986356
10,cityblock,complete,,4,6,0.2954474489331907,1.974590276425011
11,cityblock,complete,,4,7,0.3183397017566601,1.8879535975734194
12,cityblock,complete,,4,8,0.3185684313910286,1.7014615264037491
13,cityblock,complete,,4,9,0.3168761151980331,1.7649595444824686
14,cityblock,complete,,4,10,0.2979643023417871,1.6974154497986356
15,cityblock,complete,lastp,2,6,0.2954474489331907,1.974590276425011
16,cityblock,complete,lastp,2,7,0.3183397017566601,1.8879535975734194
17,cityblock,complete,lastp,2,8,0.3185684313910286,1.7014615264037491
18,cityblock,complete,lastp,2,9,0.3168761151980331,1.7649595444824686
19,cityblock,complete,lastp,2,10,0.2979643023417871,1.6974154497986356
20,cityblock,complete,lastp,3,6,0.2954474489331907,1.974590276425011
21,cityblock,complete,lastp,3,7,0.3183397017566601,1.8879535975734194
22,cityblock,complete,lastp,3,8,0.3185684313910286,1.7014615264037491
23,cityblock,complete,lastp,3,9,0.3168761151980331,1.7649595444824686
24,cityblock,complete,lastp,3,10,0.2979643023417871,1.6974154497986356
25,cityblock,complete,lastp,4,6,0.2954474489331907,1.974590276425011
26,cityblock,complete,lastp,4,7,0.3183397017566601,1.8879535975734194
27,cityblock,complete,lastp,4,8,0.3185684313910286,1.7014615264037491
28,cityblock,complete,lastp,4,9,0.3168761151980331,1.7649595444824686
29,cityblock,complete,lastp,4,10,0.2979643023417871,1.6974154497986356
30,cityblock,complete,level,2,6,0.2954474489331907,1.974590276425011
31,cityblock,complete,level,2,7,0.3183397017566601,1.8879535975734194
32,cityblock,complete,level,2,8,0.3185684313910286,1.7014615264037491
33,cityblock,complete,level,2,9,0.3168761151980331,1.7649595444824686
34,cityblock,complete,level,2,10,0.2979643023417871,1.6974154497986356
35,cityblock,complete,level,3,6,0.2954474489331907,1.974590276425011
36,cityblock,complete,level,3,7,0.3183397017566601,1.8879535975734194
37,cityblock,complete,level,3,8,0.3185684313910286,1.7014615264037491
38,cityblock,complete,level,3,9,0.3168761151980331,1.7649595444824686
39,cityblock,complete,level,3,10,0.2979643023417871,1.6974154497986356
40,cityblock,complete,level,4,6,0.2954474489331907,1.974590276425011
41,cityblock,complete,level,4,7,0.3183397017566601,1.8879535975734194
42,cityblock,complete,level,4,8,0.3185684313910286,1.7014615264037491
43,cityblock,complete,level,4,9,0.3168761151980331,1.7649595444824686
44,cityblock,complete,level,4,10,0.2979643023417871,1.6974154497986356
45,cityblock,single,,2,6,0.18221209276768402,0.6226176774601396
46,cityblock,single,,2,7,0.08369839791937297,0.6881497489025001
47,cityblock,single,,2,8,0.08341149197748819,0.6727048801711283
48,cityblock,single,,2,9,0.08142161759570607,0.6551999203446441
49,cityblock,single,,2,10,0.06945550711055022,0.6598719256975094
50,cityblock,single,,3,6,0.18221209276768402,0.6226176774601396
51,cityblock,single,,3,7,0.08369839791937297,0.6881497489025001
52,cityblock,single,,3,8,0.08341149197748819,0.6727048801711283
53,cityblock,single,,3,9,0.08142161759570607,0.6551999203446441
54,cityblock,single,,3,10,0.06945550711055022,0.6598719256975094
55,cityblock,single,,4,6,0.18221209276768402,0.6226176774601396
56,cityblock,single,,4,7,0.08369839791937297,0.6881497489025001
57,cityblock,single,,4,8,0.08341149197748819,0.6727048801711283
58,cityblock,single,,4,9,0.08142161759570607,0.6551999203446441
59,cityblock,single,,4,10,0.06945550711055022,0.6598719256975094
60,cityblock,single,lastp,2,6,0.18221209276768402,0.6226176774601396
61,cityblock,single,lastp,2,7,0.08369839791937297,0.6881497489025001
62,cityblock,single,lastp,2,8,0.08341149197748819,0.6727048801711283
63,cityblock,single,lastp,2,9,0.08142161759570607,0.6551999203446441
64,cityblock,single,lastp,2,10,0.06945550711055022,0.6598719256975094
65,cityblock,single,lastp,3,6,0.18221209276768402,0.6226176774601396
66,cityblock,single,lastp,3,7,0.08369839791937297,0.6881497489025001
67,cityblock,single,lastp,3,8,0.08341149197748819,0.6727048801711283
68,cityblock,single,lastp,3,9,0.08142161759570607,0.6551999203446441
69,cityblock,single,lastp,3,10,0.06945550711055022,0.6598719256975094
70,cityblock,single,lastp,4,6,0.18221209276768402,0.6226176774601396
71,cityblock,single,lastp,4,7,0.08369839791937297,0.6881497489025001
72,cityblock,single,lastp,4,8,0.08341149197748819,0.6727048801711283
73,cityblock,single,lastp,4,9,0.08142161759570607,0.6551999203446441
74,cityblock,single,lastp,4,10,0.06945550711055022,0.6598719256975094
75,cityblock,single,level,2,6,0.18221209276768402,0.6226176774601396
76,cityblock,single,level,2,7,0.08369839791937297,0.6881497489025001
77,cityblock,single,level,2,8,0.08341149197748819,0.6727048801711283
78,cityblock,single,level,2,9,0.08142161759570607,0.6551999203446441
79,cityblock,single,level,2,10,0.06945550711055022,0.6598719256975094
80,cityblock,single,level,3,6,0.18221209276768402,0.6226176774601396
81,cityblock,single,level,3,7,0.08369839791937297,0.6881497489025001
82,cityblock,single,level,3,8,0.08341149197748819,0.6727048801711283
83,cityblock,single,level,3,9,0.08142161759570607,0.6551999203446441
84,cityblock,single,level,3,10,0.06945550711055022,0.6598719256975094
85,cityblock,single,level,4,6,0.18221209276768402,0.6226176774601396
86,cityblock,single,level,4,7,0.08369839791937297,0.6881497489025001
87,cityblock,single,level,4,8,0.08341149197748819,0.6727048801711283
88,cityblock,single,level,4,9,0.08142161759570607,0.6551999203446441
89,cityblock,single,level,4,10,0.06945550711055022,0.6598719256975094
90,cityblock,average,,2,6,0.19601869813708017,1.6553010758588413
91,cityblock,average,,2,7,0.15631030647184962,1.5129799779444435
92,cityblock,average,,2,8,0.31072771921314885,1.485443161205963
93,cityblock,average,,2,9,0.28269052011906937,1.4972790504776663
94,cityblock,average,,2,10,0.2808447628531669,1.4478054567660774
95,cityblock,average,,3,6,0.19601869813708017,1.6553010758588413
