#Unnamed: 0#mean_fit_time#std_fit_time#mean_score_time#std_score_time#param_activation#param_alpha#param_batch_size#param_hidden_layer_sizes#param_learning_rate#param_learning_rate_init#param_momentum#param_solver#params#split0_test_accuracy#split1_test_accuracy#split2_test_accuracy#split3_test_accuracy#split4_test_accuracy#mean_test_accuracy#std_test_accuracy#rank_test_accuracy#split0_train_accuracy#split1_train_accuracy#split2_train_accuracy#split3_train_accuracy#split4_train_accuracy#mean_train_accuracy#std_train_accuracy#split0_test_precision#split1_test_precision#split2_test_precision#split3_test_precision#split4_test_precision#mean_test_precision#std_test_precision#rank_test_precision#split0_train_precision#split1_train_precision#split2_train_precision#split3_train_precision#split4_train_precision#mean_train_precision#std_train_precision#split0_test_recall#split1_test_recall#split2_test_recall#split3_test_recall#split4_test_recall#mean_test_recall#std_test_recall#rank_test_recall#split0_train_recall#split1_train_recall#split2_train_recall#split3_train_recall#split4_train_recall#mean_train_recall#std_train_recall#split0_test_f1#split1_test_f1#split2_test_f1#split3_test_f1#split4_test_f1#mean_test_f1#std_test_f1#rank_test_f1#split0_train_f1#split1_train_f1#split2_train_f1#split3_train_f1#split4_train_f1#mean_train_f1#std_train_f1
79#79#45.88115544319153#7.001981853496318#0.0308923244476318#0.0098551139720847#logistic#1e-05#32#[64, 32, 16]#adaptive#0.005#0.8#adam#{'activation': 'logistic', 'alpha': 1e-05, 'batch_size': 32, 'hidden_layer_sizes': [64, 32, 16], 'learning_rate': 'adaptive', 'learning_rate_init': 0.005, 'momentum': 0.8, 'solver': 'adam'}#0.8517915309446255#0.8370450841933732#0.8381314502987507#0.8435632808256383#0.8202064095600218#0.8381475511644819#0.0103787144361452#1#0.8408473655621944#0.8411405295315683#0.8424983027834352#0.8343516632722335#0.8408689748811948#0.8399413672061252#0.0028601394692527#0.7846774193548387#0.7656739811912225#0.768562401263823#0.7726913970007893#0.7484662576687117#0.7680142912958771#0.011725512774254#9#0.772239872915012#0.7699115044247787#0.7728263022380669#0.7623685235683677#0.7695635076681085#0.7693819421628667#0.0037291507643239#0.9938712972420838#0.9989775051124744#0.994887525562372#1.0#0.996935648621042#0.9969343953075944#0.0023299990080912#45#0.9936126724578436#1.0#0.9966794380587484#1.0#1.0#0.9980584221033184#0.0025680911624031#0.8769716088328076#0.8669032830523513#0.8672014260249553#0.8717720391807658#0.8550153307052124#0.8675727375592185#0.0072697651105865#1#0.8690502793296091#0.8699999999999999#0.8705934850513164#0.8651635720601237#0.8697777777777778#0.8689170228437654#0.0019406398010418
62#62#48.32816338539124#13.64401691619934#0.0176413536071777#0.0040359283309913#logistic#1e-05#16#[64, 32, 16]#adaptive#0.005#0.6#adam#{'activation': 'logistic', 'alpha': 1e-05, 'batch_size': 16, 'hidden_layer_sizes': [64, 32, 16], 'learning_rate': 'adaptive', 'learning_rate_init': 0.005, 'momentum': 0.6, 'solver': 'adam'}#0.8485342019543974#0.8354155350353069#0.8332428028245519#0.8473655621944596#0.8250950570342205#0.8379306318085872#0.0088826464904808#2#0.8360945138511678#0.8397827562797013#0.839918533604888#0.8472505091649695#0.8476578411405296#0.8421408308082512#0.0045519948375051#0.7795527156549521#0.7638780297107115#0.7619047619047619#0.7796474358974359#0.7588652482269503#0.7687696382789623#0.0089861286775283#7#0.7644071107638211#0.7684003925417076#0.7690794649881982#0.7768513003772086#0.7814516129032258#0.7720379763148323#0.0061967661950686#0.996935648621042#0.9989775051124744#0.9979550102249488#0.9938712972420838#0.9836567926455568#0.9942792507692212#0.0055793242183392#74#0.9997445068983136#1.0#0.9987228607918264#0.9997445068983136#0.9902912621359224#0.9977006273448752#0.0037305671387811#0.8749439713133125#0.865750996898538#0.864099158919876#0.8738212842388864#0.8567615658362989#0.8670753954413823#0.0066993820368082#3#0.8663788331672755#0.8690344062153164#0.8689854428269809#0.8743157189140878#0.8735632183908046#0.870455523902893#0.0030119426209746
124#124#45.359142017364505#4.716923478824094#0.0312546730041503#6.36644574189638e-06#logistic#1e-08#32#[64, 32, 16]#adaptive#0.005#0.0#adam#{'activation': 'logistic', 'alpha': 1e-08, 'batch_size': 32, 'hidden_layer_sizes': [64, 32, 16], 'learning_rate': 'adaptive', 'learning_rate_init': 0.005, 'momentum': 0, 'solver': 'adam'}#0.8436482084690554#0.8397609994568169#0.837588267246062#0.8473655621944596#0.8207495926127105#0.8378225259958209#0.0091684865380544#3#0.829033134166214#0.8449422946367957#0.843448744059742#0.8411405295315683#0.8407331975560082#0.8398595799900657#0.0056272916301775#0.7726913970007893#0.7699604743083004#0.7675334909377463#0.7783094098883573#0.749423520368947#0.767583658500828#0.0097629209005#13#0.7566209162961531#0.7745000989902989#0.7730328192961645#0.7702915681639085#0.7695181907571288#0.7687927187007308#0.0063478858846566#1.0#0.9959100204498976#0.9959100204498976#0.996935648621042#0.9959141981613892#0.9969339775364452#0.0015835038833875#46#1.0#0.9992337164750956#0.9987228607918264#0.9989780275932548#0.9997445068983136#0.9993358223516982#0.0004737762299298#0.8717720391807658#0.8684797146678556#0.8669336893635959#0.8741603224361846#0.8552631578947368#0.8673217847086278#0.0065340992270091#2#0.8614504236821834#0.8726299353111755#0.8715033990861474#0.8698553948832034#0.8696521835759529#0.8690182673077324#0.0039394140497458
63#63#56.50742030143738#14.451528897563056#0.020767593383789#0.0065332021401785#logistic#1e-05#16#[64, 32, 16]#adaptive#0.005#0.8#adam#{'activation': 'logistic', 'alpha': 1e-05, 'batch_size': 16, 'hidden_layer_sizes': [64, 32, 16], 'learning_rate': 'adaptive', 'learning_rate_init': 0.005, 'momentum': 0.8, 'solver': 'adam'}#0.8512486427795874#0.8359587180879956#0.8321564367191744#0.8424769147202608#0.8250950570342205#0.8373871538682478#0.0089279674687903#4#0.8417979359043998#0.8435845213849287#0.8384249830278343#0.8327223353699932#0.8510522742701969#0.8415164099914705#0.006036252450607#0.7868185516680228#0.7657232704402516#0.7599067599067599#0.7714736012608353#0.7572435395458105#0.768233144564336#0.0105101616054133#8#0.7762814070351759#0.7726465364120781#0.7668952007835456#0.7605907500971628#0.7823211064341551#0.7717470001524236#0.0074991147121442#0.9877425944841676#0.9959100204498976#1.0#1.0#0.9877425944841676#0.9942790418836468#0.0055420051215065#75#0.9867143587123148#1.0#1.0#1.0#0.9971895758814512#0.9967807869187532#0.0051495647163389#0.8759057971014493#0.8657777777777778#0.8635761589403974#0.8709964412811388#0.8572695035460992#0.8667051357293726#0.0063678743115203#5#0.8689391382607717#0.8717434869739479#0.8680709534368071#0.8640176600441501#0.8767831068179265#0.8699108691067206#0.0042342792296003
143#143#22.66468162536621#8.594288264908199#0.0281240940093994#0.0062501434085706#logistic#1e-08#64#[64, 32, 16]#adaptive#0.005#0.8#adam#{'activation': 'logistic', 'alpha': 1e-08, 'batch_size': 64, 'hidden_layer_sizes': [64, 32, 16], 'learning_rate': 'adaptive', 'learning_rate_init': 0.005, 'momentum': 0.8, 'solver': 'adam'}#0.8507057546145494#0.8343291689299294#0.8397609994568169#0.8403041825095057#0.8212927756653993#0.8372785762352402#0.0095901059526893#5#0.8352797392721347#0.8359809911744739#0.8405974202308214#0.8276985743380856#0.8408689748811948#0.8360851399793422#0.0047799529278833#0.7807017543859649#0.7626854020296643#0.7712470214455918#0.7690494893951296#0.7503852080123267#0.7668137750537354#0.0100445939786493#17#0.7635121951219512#0.7642006636736287#0.7737167964849211#0.7552596023933603#0.7700945626477541#0.7653567640643231#0.0063091767132756#1.0#0.9989775051124744#0.9928425357873212#1.0#0.9948927477017364#0.9973425577203064#0.0029342398824703#42#0.9997445068983136#1.0#0.9895274584929756#0.9997445068983136#0.9987225344915688#0.9975478013562344#0.0040341097220865#0.8768472906403941#0.8649845064187693#0.8681269557443003#0.8694493783303731#0.8555116381203337#0.8669839538508342#0.0069322723845928#4#0.8658037393516982#0.8663421110865236#0.868415153553015#0.8604727872457394#0.8696329254727475#0.8661333433419447#0.0031511220544253
96#96#100.0904505252838#32.50331968320604#0.0221240043640136#0.0074654616502578#logistic#1e-08#16#[64, 32, 16]#adaptive#0.001#0.0#adam#{'activation': 'logistic', 'alpha': 1e-08, 'batch_size': 16, 'hidden_layer_sizes': [64, 32, 16], 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'momentum': 0, 'solver': 'adam'}#0.8534201954397395#0.8354155350353069#0.8245518739815317#0.846279196089082#0.8250950570342205#0.836952371515976#0.0114447279879505#6#0.8411189570885388#0.8388323150033944#0.8305498981670061#0.8411405295315683#0.8472505091649695#0.8397784417910954#0.0053952799451977#0.7865804365400162#0.7638780297107115#0.75211701308699#0.7770700636942676#0.7548487199379363#0.7668988525939843#0.0131426947693555#16#0.7709320695102686#0.7674509803921569#0.758280069726903#0.7699724517906336#0.7775124378109453#0.7688296018461814#0.0062339608871767#0.9938712972420838#0.9989775051124744#0.9989775051124744#0.996935648621042#0.9938712972420838#0.9965266506660316#0.002292703991999#48#0.9974450689831376#0.9997445721583652#1.0#0.9997445068983136#0.9982115482881962#0.9990291392656026#0.0010142878591107#0.878158844765343#0.865750996898538#0.8581466842336408#0.8733780760626398#0.8580246913580247#0.8666918586636372#0.0080650144372717#6#0.8696814435286255#0.8683305601774819#0.8625247851949769#0.869942196531792#0.8741469963083118#0.8689251963482375#0.0037467919371264
126#126#35.5497266292572#6.444324865247425#0.0187479019165039#0.0062485460203293#logistic#1e-08#32#[64, 32, 16]#adaptive#0.005#0.6#adam#{'activation': 'logistic', 'alpha': 1e-08, 'batch_size': 32, 'hidden_layer_sizes': [64, 32, 16], 'learning_rate': 'adaptive', 'learning_rate_init': 0.005, 'momentum': 0.6, 'solver': 'adam'}#0.8501628664495114#0.8403041825095057#0.8332428028245519#0.8403041825095057#0.8202064095600218#0.8368440887706194#0.0099107614864207#7#0.8373166757197176#0.8446707399864223#0.8404616429056347#0.8281059063136457#0.8427698574338085#0.8386649644718457#0.0058216686766333#0.7809752198241406#0.7714285714285715#0.7610894941634241#0.7690494893951296#0.7492307692307693#0.7663547088084071#0.0106556750942997#20#0.7656494522691706#0.776161052421766#0.769155206286837#0.7555984555984556#0.7716876971608833#0.7676503727474224#0.0069317901100077#0.9979570990806946#0.9938650306748468#1.0#1.0#0.9948927477017364#0.9973429754914556#0.0025532889624858#41#1.0#0.9946360153256704#1.0#1.0#1.0#0.998927203065134#0.0021455938697318#0.8762331838565024#0.8686327077747991#0.8643393725143614#0.8694493783303731#0.8547608600263272#0.8666831005004727#0.0070751711281021#7#0.8672723243961888#0.8719211822660098#0.8695169350360911#0.8607873323070157#0.8711328733585577#0.8681261294727726#0.0039991049389092
99#99#93.33864760398863#18.636609534769597#0.0232851505279541#0.0092739943361031#logistic#1e-08#16#[64, 32, 16]#adaptive#0.001#0.8#adam#{'activation': 'logistic', 'alpha': 1e-08, 'batch_size': 16, 'hidden_layer_sizes': [64, 32, 16], 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'momentum': 0.8, 'solver': 'adam'}#0.8474484256243214#0.8370450841933732#0.8299837045084193#0.841933731667572#0.8272677892449756#0.8367357470477323#0.007444575465002#8#0.834736556219446#0.8412763068567549#0.8374745417515275#0.8287847929395791#0.8484725050916497#0.8381489405717915#0.0065748436618793#0.7884297520661157#0.7660910518053375#0.7575522850503486#0.7708661417322835#0.756003098373354#0.7677884658054879#0.0116798140726105#11#0.7758232767437103#0.7701692247146793#0.7664705882352941#0.7572231917781655#0.7783525666534024#0.7696077696250503#0.0074651043012758#0.9744637385086824#0.9979550102249488#1.0#1.0#0.996935648621042#0.9938708794709346#0.00977591214371#80#0.9690853346959633#0.9997445721583652#0.9984674329501916#0.9977005620848236#0.9994890137966276#0.992897383137194#0.0119284804240253#0.8716308816811329#0.866785079928952#0.8620537681798148#0.8706091596265007#0.8599118942731278#0.8661981567379057#0.0046045407571364#8#0.8617516755651482#0.8700678003779038#0.8672212978369385#0.8609855583728365#0.8751677852348994#0.8670388234775454#0.0052893093818137
49#49#57.25384573936462#10.88279109403036#0.021885061264038#0.0076692270871464#logistic#1e-05#16#[64, 32, 16]#adaptive#0.001#0.2#adam#{'activation': 'logistic', 'alpha': 1e-05, 'batch_size': 16, 'hidden_layer_sizes': [64, 32, 16], 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'momentum': 0.2, 'solver': 'adam'}#0.8507057546145494#0.8381314502987507#0.8321564367191744#0.8392178164041282#0.8207495926127105#0.8361922101298627#0.0097807956943385#9#0.8354155350353069#0.845213849287169#0.8392396469789545#0.8276985743380856#0.8414120841819416#0.8377959379642915#0.005963376357143#0.7829581993569131#0.7689873417721519#0.7603112840466926#0.7678431372549019#0.749423520368947#0.7659046965599213#0.0110181454307023#22#0.7651098901098901#0.7752430073398136#0.7679026878556013#0.755456828278926#0.770595191170674#0.766861520950981#0.0066092187354689#0.9948927477017364#0.9938650306748468#0.9989775051124744#1.0#0.9959141981613892#0.9967298963300892#0.002366146954789#47#0.9961676034747062#0.9982120051085568#0.9997445721583652#0.9992335206949412#0.9989780275932548#0.9984671458059649#0.0012516501480501#0.8762932973459288#0.8670829616413915#0.8634555899248784#0.8686779059449867#0.8552631578947368#0.8661545825503845#0.0068692107060118#9#0.8654827968923418#0.8727110317105851#0.8686196182867287#0.8604113958860412#0.8700489541611035#0.8674547593873602#0.0042240441997906
127#127#48.56898889541626#16.468542197357262#0.0281628131866455#0.0119579378798424#logistic#1e-08#32#[64, 32, 16]#adaptive#0.005#0.8#adam#{'activation': 'logistic', 'alpha': 1e-08, 'batch_size': 32, 'hidden_layer_sizes': [64, 32, 16], 'learning_rate': 'adaptive', 'learning_rate_init': 0.005, 'momentum': 0.8, 'solver': 'adam'}#0.8441910966340934#0.8332428028245519#0.8370450841933732#0.841933731667572#0.8223791417707768#0.8357583714180734#0.0076971868867778#10#0.8381314502987507#0.8351663272233537#0.843448744059742#0.8308214528173795#0.8450780719619824#0.8385292092722416#0.0052529253278092#0.7826797385620915#0.7614964925954794#0.7656739811912225#0.7708661417322835#0.7515432098765432#0.766451912791524#0.0102981409573049#19#0.7718737514982021#0.7633066874634432#0.7724940805051302#0.7585271317829457#0.7742828882294758#0.7680969078958394#0.0061056179684385#0.9785495403472932#0.9989775051124744#0.9989775051124744#1.0#0.9948927477017364#0.9942794596547956#0.0080582172685402#73#0.9872253449156873#1.0#1.0#1.0#1.0#0.9974450689831376#0.005109862033725#0.8697231048570132#0.86421937195931#0.8669032830523513#0.8706091596265007#0.8562637362637361#0.8655437311517822#0.0051545386595437#14#0.8663677130044843#0.8657673595754092#0.8716464432817544#0.862684593343619#0.8727840338945256#0.8678500286199586#0.0037940391105208
78#78#27.49349961280823#10.434217219275876#0.0275934219360351#0.0124911008105681#logistic#1e-05#32#[64, 32, 16]#adaptive#0.005#0.6#adam#{'activation': 'logistic', 'alpha': 1e-05, 'batch_size': 32, 'hidden_layer_sizes': [64, 32, 16], 'learning_rate': 'adaptive', 'learning_rate_init': 0.005, 'momentum': 0.6, 'solver': 'adam'}#0.8479913137893594#0.8343291689299294#0.8348723519826181#0.8392178164041282#0.821835958718088#0.8356493219648247#0.0084642117806126#11#0.8346007604562737#0.8377460964019009#0.8411405295315683#0.8274270196877122#0.846978954514596#0.8375786721184102#0.0065269314871783#0.7780429594272077#0.7626854020296643#0.7628705148205929#0.7678431372549019#0.752521334367727#0.7647926695800187#0.008289709975752#31#0.7630757220921155#0.7661448140900196#0.7699115044247787#0.7548698167791706#0.7768726405722233#0.7661748995916616#0.0072912904409911#0.9989785495403471#0.9989775051124744#1.0#1.0#0.9908069458631256#0.9977526001031892#0.0035027723225788#35#0.9989780275932548#1.0#1.0#1.0#0.9989780275932548#0.999591211037302#0.0005006621855458#0.8747763864042933#0.8649845064187693#0.8654867256637169#0.8686779059449867#0.855379188712522#0.8658609426288576#0.0062959632141133#10#0.8652356716087629#0.867590027700831#0.8699999999999999#0.860314320254973#0.8740359897172236#0.867435201856358#0.0045982050636074
