#Unnamed: 0#mean_fit_time#std_fit_time#mean_score_time#std_score_time#param_criterion#param_max_depth#param_max_leaf_nodes#param_min_samples_leaf#param_min_samples_split#param_n_estimators#params#split0_test_accuracy#split1_test_accuracy#split2_test_accuracy#split3_test_accuracy#mean_test_accuracy#std_test_accuracy#rank_test_accuracy#split0_train_accuracy#split1_train_accuracy#split2_train_accuracy#split3_train_accuracy#mean_train_accuracy#std_train_accuracy#split0_test_precision#split1_test_precision#split2_test_precision#split3_test_precision#mean_test_precision#std_test_precision#rank_test_precision#split0_train_precision#split1_train_precision#split2_train_precision#split3_train_precision#mean_train_precision#std_train_precision#split0_test_recall#split1_test_recall#split2_test_recall#split3_test_recall#mean_test_recall#std_test_recall#rank_test_recall#split0_train_recall#split1_train_recall#split2_train_recall#split3_train_recall#mean_train_recall#std_train_recall#split0_test_f1#split1_test_f1#split2_test_f1#split3_test_f1#mean_test_f1#std_test_f1#rank_test_f1#split0_train_f1#split1_train_f1#split2_train_f1#split3_train_f1#mean_train_f1#std_train_f1
18#18#1.8939629197120669#0.015444121827683#0.0892728567123413#0.0114683072403283#gini###4#4#65#{'criterion': 'gini', 'max_depth': None, 'max_leaf_nodes': None, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 65}#0.8575152041702867#0.8496959165942659#0.8574532811820947#0.8500651890482399#0.8536823977487218#0.003804148975492#1#0.910196987253766#0.9116454229432214#0.914409847936278#0.9146994931209268#0.912737937813548#0.001890304285792#0.7949901120632828#0.7858072916666666#0.7969475779694758#0.7903439153439153#0.7920222242608351#0.0043159464528017#9#0.8574777308954524#0.8591218595914534#0.8628329012491162#0.8628975265017668#0.8605825045594472#0.0023556694951465#0.9860997547015536#0.9861111111111112#0.982011447260834#0.9771054783319706#0.9828319478513674#0.0037046304697575#2#0.9967302452316076#0.9972744617061868#0.9975476839237056#0.9980926430517711#0.9974112584783178#0.0004912711161237#0.8802919708029198#0.8746376811594203#0.8798534798534798#0.8738574040219379#0.8771601339594395#0.0029297315272699#1#0.921875#0.9230575176589304#0.9253127764438266#0.925584333543904#0.9239574069116652#0.0015516230251205
14#14#2.4540945887565613#0.0431932340537249#0.1233222484588623#0.0080483840048561#gini###4#2#85#{'criterion': 'gini', 'max_depth': None, 'max_leaf_nodes': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 85}#0.8553431798436143#0.8496959165942659#0.8574532811820947#0.8513689700130378#0.8534653369082532#0.0030835562782283#2#0.910776361529548#0.91265932792584#0.908616944243302#0.9116582186821144#0.9109277130952012#0.0014911982025818#0.7947019867549668#0.7861799217731421#0.7957699933906147#0.789612097304405#0.7915659998057821#0.0038837980047031#12#0.8576112412177986#0.8601973684210527#0.8541132603122815#0.8586497890295358#0.8576429147451671#0.0022359837339912#0.98119378577269#0.9852941176470588#0.9844644317252658#0.982011447260834#0.9832409456014622#0.0016893018734158#1#0.9978201634877384#0.9978195693649496#0.9986376021798364#0.9980926430517711#0.998092494521074#0.0003338393005122#0.8781558726673985#0.8745467730239305#0.8801169590643276#0.8753644314868804#0.8770460090606342#0.0022212842599786#2#0.9224181360201512#0.92391167192429#0.9207386006783068#0.9231350806451614#0.9225508723169774#0.0011720732015116
19#19#2.3895758986473083#0.0553259876316348#0.1067380309104919#0.0113562059664831#gini###4#4#85#{'criterion': 'gini', 'max_depth': None, 'max_leaf_nodes': None, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 85}#0.8566463944396178#0.8505647263249348#0.8557149065623642#0.8496305953933072#0.853139155680056#0.003077048021828#3#0.910196987253766#0.9146871378910776#0.9119478638667632#0.9103548153511948#0.9117967010907004#0.0018038565580244#0.7947194719471947#0.7868318122555411#0.7960132890365449#0.7882971729125575#0.7914654365379595#0.0039616939932341#15#0.8569756554307116#0.8633789523360076#0.8593896713615023#0.856508530030381#0.8590632022896507#0.002721051394133#0.9844644317252658#0.9861111111111112#0.9795584627964022#0.9803761242845462#0.9826275324793312#0.0027385007988736#4#0.9975476839237056#0.9972744617061868#0.9975476839237056#0.9986376021798364#0.9977518579333589#0.0005234080817875#0.8794740686632577#0.8752719361856418#0.878299120234604#0.8739067055393586#0.8767379576557155#0.0022410231781715#3#0.9219340216570132#0.925509042620463#0.923329129886507#0.9221285696314004#0.923225190948846#0.0014227155561423
12#12#1.33197283744812#0.0515915003297915#0.0681008696556091#0.0126783943535529#gini###4#2#45#{'criterion': 'gini', 'max_depth': None, 'max_leaf_nodes': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 45}#0.8553431798436143#0.8514335360556038#0.8548457192524989#0.848761408083442#0.8525959608087899#0.002676922271501#4#0.912079953650058#0.91265932792584#0.9138305575669804#0.9131064446053584#0.9129190709370592#0.0006398243941345#0.7939233817701453#0.78748370273794#0.7941760423560555#0.7872619829284307#0.790711277448143#0.003340549402276#19#0.8595914533928152#0.8605362182502352#0.8618498470228289#0.8608368594264222#0.8607035945230754#0.0008056871349943#0.982829108748978#0.9869281045751634#0.98119378577269#0.9803761242845462#0.9828317808453444#0.0025245371973001#3#0.9975476839237056#0.9972744617061868#0.9978201634877384#0.9978201634877384#0.9976156181513424#0.0002262080727109#0.8783339422725612#0.8759970993473531#0.8778346744696416#0.8732702112163147#0.8763589818264677#0.001984288307655#4#0.9234455795182244#0.9238732483272314#0.924864250536684#0.9242806663301364#0.9241159361780692#0.000523303412623
13#13#1.941176235675812#0.0755681360348236#0.1048927307128906#0.0120725719056134#gini###4#2#65#{'criterion': 'gini', 'max_depth': None, 'max_leaf_nodes': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 65}#0.8592528236316247#0.8492615117289314#0.8518035636679705#0.8500651890482399#0.8525957720191917#0.0039517424036246#5#0.9077346465816918#0.9157010428736964#0.9139753801593048#0.9123823316437364#0.9124483503146076#0.002963747221726#0.7955292570677186#0.7860404435746902#0.7951807228915663#0.7891963109354414#0.7914866836173541#0.0040278922492223#14#0.853743876836949#0.8642907717724805#0.8613721804511278#0.8594886230354211#0.8597238630239947#0.0038532187359099#0.9893704006541292#0.9844771241830066#0.9713818479149632#0.9795584627964022#0.9811969588871252#0.0066442777546186#5#0.997275204359673#0.9980921231943308#0.9989100817438692#0.9983651226158038#0.9981606329784192#0.0005899506109079#0.8819241982507288#0.8741385564018862#0.874493927125506#0.8741335279095221#0.8761725524219108#0.0033239273983304#5#0.9199447027774288#0.9263850240323804#0.9250567751703256#0.9237362914408168#0.9237806983552378#0.0024045643221614
17#17#1.378185510635376#0.099666238688975#0.0607706904411315#0.0045300002640686#gini###4#4#45#{'criterion': 'gini', 'max_depth': None, 'max_leaf_nodes': None, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 45}#0.8570807993049522#0.8492615117289314#0.8531073446327684#0.848761408083442#0.8520527659375234#0.0033547500782117#6#0.9130938586326768#0.9109212050984936#0.9112237509051412#0.9138305575669804#0.912267343050823#0.0012275931312737#0.796812749003984#0.7860404435746902#0.7940199335548173#0.7880184331797235#0.7912228898283038#0.004364523765435#17#0.8611764705882353#0.8589562764456982#0.8580463808854533#0.861509522689866#0.8599221626523131#0.0014615482961529#0.98119378577269#0.9844771241830066#0.9771054783319706#0.9787408013082584#0.9803792973989812#0.0027775050128496#6#0.997275204359673#0.9959116925592804#0.9980926430517711#0.9983651226158038#0.997411165646632#0.0009541161307709#0.8794430194210334#0.8741385564018862#0.876099706744868#0.8730853391684901#0.8756916554340695#0.0024209625521126#6#0.9242424242424242#0.9223778871639532#0.9227862451190326#0.9249021835163448#0.9235771850104386#0.0010322385277673
16#16#0.8810895681381226#0.0946402495772129#0.0429497361183166#0.0079983388374144#gini###4#4#25#{'criterion': 'gini', 'max_depth': None, 'max_leaf_nodes': None, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 25}#0.8557775847089487#0.8457862728062554#0.8509343763581052#0.8509343763581052#0.8508581525578536#0.0035332844861173#7#0.9142526071842412#0.916425260718424#0.915858073859522#0.9157132512671976#0.915562298257346#0.0008016022913868#0.7968021319120586#0.7860434496379197#0.7941176470588235#0.791005291005291#0.7919921299035232#0.0040004559244239#10#0.8648648648648649#0.8663507109004739#0.8652163632064318#0.8648393194706995#0.8653178146106175#0.0006146723119095#0.9779231398201144#0.9754901960784312#0.9713818479149632#0.9779231398201144#0.9756795809084058#0.0026727087700198#7#0.9940054495912808#0.9964568002180432#0.9970027247956404#0.997275204359673#0.9961850447411592#0.0012924332402415#0.8781204111600587#0.8705796573095151#0.8738506803972048#0.8745886654478977#0.8742848535786691#0.0026795890242952#7#0.924949290060852#0.926860185067816#0.9264463856184328#0.9263477600607442#0.9261509052019612#0.0007198988448723
4#4#3.481884777545929#0.792865585029274#0.1384739875793457#0.0188579796196762#gini###2#2#85#{'criterion': 'gini', 'max_depth': None, 'max_leaf_nodes': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 85}#0.8566463944396178#0.8457862728062554#0.8483268144285093#0.8513689700130378#0.850532112921855#0.0040457109423779#8#0.9827636152954808#0.9837775202780996#0.9832005792903692#0.9846488052136132#0.9835976300193908#0.0007054359707376#0.7982631930527722#0.7875579086697552#0.7940780619111709#0.7915287888815354#0.7928569881288086#0.0038910933301476#5#0.9688407710588856#0.970627150039693#0.9698572184029614#0.971927966101695#0.9703132764008088#0.0011271646253683#0.9771054783319706#0.9722222222222222#0.964840556009812#0.9779231398201144#0.9730228490960298#0.0052026828223172#9#0.9997275204359674#0.9997274461706188#0.9994550408719346#1.0#0.99972750186963#0.0001926721501459#0.8786764705882352#0.870201096892139#0.8711701734957549#0.8749085588880762#0.8737390749660513#0.0033489592334563#8#0.98404183988199#0.9849624060150376#0.9844337090713904#0.9857641686811712#0.9848005309123972#0.000645168900545
8#8#2.440348982810974#0.3623611905821949#0.1014074683189392#0.0235388094207025#gini###2#4#65#{'criterion': 'gini', 'max_depth': None, 'max_leaf_nodes': None, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 65}#0.8531711555169418#0.8466550825369245#0.8513689700130378#0.848761408083442#0.8499891540375866#0.00248256009193#9#0.9807358053302432#0.9826187717265352#0.9818971759594496#0.9829109341057204#0.9820406717804872#0.0008388717968153#0.7951967978652434#0.7882197220383852#0.7966329966329966#0.7906976744186046#0.7926867977388076#0.0033831923993281#6#0.9652722967640096#0.9690721649484536#0.9680485872722472#0.9693446088794926#0.9679344144660508#0.0016111355105256#0.9746524938675388#0.9730392156862744#0.9672935404742437#0.9730171708912512#0.972000605229827#0.0027973688255353#11#0.9997275204359674#0.999182338511856#0.9989100817438692#0.9994550408719346#0.9993187453909068#0.0003046663374395#0.87582659808964#0.8709323583180988#0.8737075332348597#0.8724340175953078#0.8732251268094766#0.0017946455029172#10#0.9821978316155804#0.9838969404186796#0.9832372267667964#0.9841695733834184#0.9833753930461188#0.0007596833079336
2#2#1.4155083298683169#0.0375318602980285#0.0649447441101074#0.0046379357102505#gini###2#2#45#{'criterion': 'gini', 'max_depth': None, 'max_leaf_nodes': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 45}#0.8549087749782798#0.8449174630755865#0.8522381573229031#0.847457627118644#0.8498805056238533#0.0039161251838267#10#0.9763904982618772#0.9784183082271148#0.977697320782042#0.9765387400434468#0.97726121682862#0.0008380290404045#0.797722705961152#0.786896095301125#0.7993220338983051#0.7879788639365918#0.7929799247742936#0.005584351172882#4#0.9579524680073126#0.9614577871001572#0.9604504976427448#0.9582027168234064#0.9595158673934052#0.0014843490080145#0.9738348323793948#0.97140522875817#0.964022894521668#0.9754701553556828#0.9711832777537288#0.0043797377714132#13#0.9994550408719346#0.9994548923412374#0.999182561307902#0.9994550408719346#0.999386883848252#0.0001179656892572#0.8770250368188512#0.8694698354661792#0.8739807264640475#0.8717573986116185#0.8730582493401741#0.0027908463632974#12#0.978263768502467#0.9800881999198182#0.9794337606837608#0.9783942384635904#0.9790449918924092#0.0007538591001791
11#11#0.8181757926940918#0.044581970357078#0.0453836321830749#0.0113126941750488#gini###4#2#25#{'criterion': 'gini', 'max_depth': None, 'max_leaf_nodes': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 25}#0.8527367506516073#0.8466550825369245#0.8526727509778357#0.8470230334637114#0.8497719044075197#0.0029358173527285#11#0.9178736964078796#0.9146871378910776#0.9145546705286024#0.9139753801593048#0.915272721246716#0.0015253417966359#0.7942743009320905#0.7859487852921865#0.7970430107526881#0.7889847378898474#0.7915627087167032#0.004345932366841#13#0.8679155797960636#0.8645833333333334#0.863036303630363#0.8623939679547596#0.86448229617863#0.0021359806954081#0.9754701553556828#0.9779411764705882#0.9697465249386754#0.9721995094031072#0.9738393415420132#0.0031194871641216#8#0.997275204359673#0.995366584900518#0.9975476839237056#0.997275204359673#0.9968661693858925#0.0008729024735871#0.8755963302752294#0.8714961776483438#0.8749538915529326#0.8710622710622711#0.8732771676346942#0.002016656304955#9#0.9281095473564094#0.9253769162549094#0.9254297269969664#0.9249431387414708#0.925964832337439#0.001252561711268
