+-------------+----------+---------+---------+---------+-----------------------+--------------------+
|   Field 1   | Field 2  | Field 3 | Field 4 | Field 5 |        Field 6        |      Field 7       |
+-------------+----------+---------+---------+---------+-----------------------+--------------------+
|  cityblock  | complete |   None  |    2    |    7    |  0.17438447615877448  | 1.6813792418195863 |
|  cityblock  | complete |   None  |    2    |    8    |  0.22922765150637914  | 1.6056471955035017 |
|  cityblock  | complete |   None  |    2    |    9    |  0.18836226462298813  | 1.6766524984707711 |
|  cityblock  | complete |   None  |    2    |    10   |  0.18789309337328924  | 1.639554466076976  |
|  cityblock  | complete |   None  |    3    |    7    |  0.17438447615877448  | 1.6813792418195863 |
|  cityblock  | complete |   None  |    3    |    8    |  0.22922765150637914  | 1.6056471955035017 |
|  cityblock  | complete |   None  |    3    |    9    |  0.18836226462298813  | 1.6766524984707711 |
|  cityblock  | complete |   None  |    3    |    10   |  0.18789309337328924  | 1.639554466076976  |
|  cityblock  | complete |   None  |    4    |    7    |  0.17438447615877448  | 1.6813792418195863 |
|  cityblock  | complete |   None  |    4    |    8    |  0.22922765150637914  | 1.6056471955035017 |
|  cityblock  | complete |   None  |    4    |    9    |  0.18836226462298813  | 1.6766524984707711 |
|  cityblock  | complete |   None  |    4    |    10   |  0.18789309337328924  | 1.639554466076976  |
|  cityblock  | complete |  lastp  |    2    |    7    |  0.17438447615877448  | 1.6813792418195863 |
|  cityblock  | complete |  lastp  |    2    |    8    |  0.22922765150637914  | 1.6056471955035017 |
|  cityblock  | complete |  lastp  |    2    |    9    |  0.18836226462298813  | 1.6766524984707711 |
|  cityblock  | complete |  lastp  |    2    |    10   |  0.18789309337328924  | 1.639554466076976  |
|  cityblock  | complete |  lastp  |    3    |    7    |  0.17438447615877448  | 1.6813792418195863 |
|  cityblock  | complete |  lastp  |    3    |    8    |  0.22922765150637914  | 1.6056471955035017 |
|  cityblock  | complete |  lastp  |    3    |    9    |  0.18836226462298813  | 1.6766524984707711 |
|  cityblock  | complete |  lastp  |    3    |    10   |  0.18789309337328924  | 1.639554466076976  |
|  cityblock  | complete |  lastp  |    4    |    7    |  0.17438447615877448  | 1.6813792418195863 |
|  cityblock  | complete |  lastp  |    4    |    8    |  0.22922765150637914  | 1.6056471955035017 |
|  cityblock  | complete |  lastp  |    4    |    9    |  0.18836226462298813  | 1.6766524984707711 |
|  cityblock  | complete |  lastp  |    4    |    10   |  0.18789309337328924  | 1.639554466076976  |
|  cityblock  | complete |  level  |    2    |    7    |  0.17438447615877448  | 1.6813792418195863 |
|  cityblock  | complete |  level  |    2    |    8    |  0.22922765150637914  | 1.6056471955035017 |
|  cityblock  | complete |  level  |    2    |    9    |  0.18836226462298813  | 1.6766524984707711 |
|  cityblock  | complete |  level  |    2    |    10   |  0.18789309337328924  | 1.639554466076976  |
|  cityblock  | complete |  level  |    3    |    7    |  0.17438447615877448  | 1.6813792418195863 |
|  cityblock  | complete |  level  |    3    |    8    |  0.22922765150637914  | 1.6056471955035017 |
|  cityblock  | complete |  level  |    3    |    9    |  0.18836226462298813  | 1.6766524984707711 |
|  cityblock  | complete |  level  |    3    |    10   |  0.18789309337328924  | 1.639554466076976  |
|  cityblock  | complete |  level  |    4    |    7    |  0.17438447615877448  | 1.6813792418195863 |
|  cityblock  | complete |  level  |    4    |    8    |  0.22922765150637914  | 1.6056471955035017 |
|  cityblock  | complete |  level  |    4    |    9    |  0.18836226462298813  | 1.6766524984707711 |
|  cityblock  | complete |  level  |    4    |    10   |  0.18789309337328924  | 1.639554466076976  |
|  cityblock  |  single  |   None  |    2    |    7    |  0.18561171429131795  | 0.6481817791092485 |
|  cityblock  |  single  |   None  |    2    |    8    |  0.07874607951269721  | 0.6695637556182948 |
|  cityblock  |  single  |   None  |    2    |    9    |  0.07749393215696107  | 0.6661684290872057 |
|  cityblock  |  single  |   None  |    2    |    10   |  0.07603591621959999  | 0.6561276740046825 |
|  cityblock  |  single  |   None  |    3    |    7    |  0.18561171429131795  | 0.6481817791092485 |
|  cityblock  |  single  |   None  |    3    |    8    |  0.07874607951269721  | 0.6695637556182948 |
|  cityblock  |  single  |   None  |    3    |    9    |  0.07749393215696107  | 0.6661684290872057 |
|  cityblock  |  single  |   None  |    3    |    10   |  0.07603591621959999  | 0.6561276740046825 |
|  cityblock  |  single  |   None  |    4    |    7    |  0.18561171429131795  | 0.6481817791092485 |
|  cityblock  |  single  |   None  |    4    |    8    |  0.07874607951269721  | 0.6695637556182948 |
|  cityblock  |  single  |   None  |    4    |    9    |  0.07749393215696107  | 0.6661684290872057 |
|  cityblock  |  single  |   None  |    4    |    10   |  0.07603591621959999  | 0.6561276740046825 |
|  cityblock  |  single  |  lastp  |    2    |    7    |  0.18561171429131795  | 0.6481817791092485 |
|  cityblock  |  single  |  lastp  |    2    |    8    |  0.07874607951269721  | 0.6695637556182948 |
|  cityblock  |  single  |  lastp  |    2    |    9    |  0.07749393215696107  | 0.6661684290872057 |
